address,lat,lon,formatted_address,loc_type
500 CHERRY AVE Charlottesville VA,38.0260635,-78.490995,"500 Cherry Ave, Charlottesville, VA 22903, USA",ROOFTOP
300 HILLSDALE DR Charlottesville VA,38.06444,-78.4867647,"300 Hillsdale Dr, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
100 JEFFERSON PARK AVE Charlotesville VA,38.0280212,-78.5106257,"Jefferson Park Ave, Virginia 22903, USA",GEOMETRIC_CENTER
1600 RUGBY AVE Charlottesville VA,38.0455495,-78.4879976,"1600 Rugby Ave, Charlottesville, VA 22903, USA",ROOFTOP
2100 ARLINGTON BLVD Charlottesville VA,38.0491039,-78.5065407,"2100 Arlington Blvd, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
900 2ND ST SE Charlottesville VA,38.0264868,-78.4826641,"900 2nd St SE, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
1300 HAMPTON ST Charlottesville VA,38.0207179,-78.4711089,"1300 Hampton St, Charlottesville, VA 22902, USA",RANGE_INTERPOLATED
100 RIALTO ST Charlotesville VA,38.0207999,-78.4795919,"Rialto St, Charlottesville, VA 22902, USA",GEOMETRIC_CENTER
1100 ALTAVISTA AVE Charlottesville VA,38.0173602,-78.475547,"1100 Altavista Ave, Charlottesville, VA 22902, USA",ROOFTOP
1300 CHESAPEAKE ST Charlottesville VA,38.0272375,-78.466618,"1300 Chesapeake St, Charlottesville, VA 22902, USA",ROOFTOP
100 CHISHOLM PL Charlottesville VA,38.0268001,-78.4635319,"100 Chisholm Pl, Charlottesville, VA 22902, USA",ROOFTOP
900 GRADY AVE Charlottesville VA,38.0376938,-78.4908732,"900 Grady Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1000 FOREST HILLS AVE Charlottesville VA,38.0253238,-78.4957235,"1000 Forest Hills Ave, Charlottesville, VA 22903, USA",RANGE_INTERPOLATED
1200 BELLEVIEW AVE Charlottesville VA,38.0388926,-78.4622103,"1200 Belleview Ave, Charlottesville, VA 22901, USA",RANGE_INTERPOLATED
